desc,time
Da1a2a4|aD1a2a3|aD2a2a4|aD4a3a4|1|0|1,1
Aa1a3a5|aA1a2a4|aA3a2a3|aA5a3a4|1|0|1,1
Aa10a5a9|aA10a2a4|aA5a3a4|aA9a2a3|-1|0|1,1
Aa1a3a3|aA1a2a3|aA3a2a4|aA3a3a4|1|0|1,1
Aa3a6a6|aA3a3a4|aA6a2a3|aA6a2a4|-1|0|1,1
Aa2a3a3|aA2a2a4|aA3a2a3|aA3a3a4|1|0|1,1
Ha0a2a4|aH0a2a4|aH2a2a3|aH4a3a4|0|0|1,1
Ha0a2a3|aH0a2a3|aH2a2a4|aH3a3a4|0|0|1,1
Ha0a3a4|aH0a3a4|aH3a2a3|aH4a2a4|0|0|1,1
Ha2a6a7|aH2a3a4|aH6a2a3|aH7a2a4|1|0|1,1
Ha4a4a5|aH4a2a4|aH4a3a4|aH5a2a3|-1|0|1,1
AD4a1a3|DA4a1a2|aA1D2a2|aA3D1a2|1|0|1,1
AD10a10a9|DA10a1a2|aA10D2a2|aA9D1a2|-1|0|1,1
AD1a1a3|DA1a1a2|aA1D1a2|aA3D2a2|-1|0|1,1
AD7a6a6|DA7a1a2|aA6D1a2|aA6D2a2|1|0|1,1
AD4a2a3|DA4a1a2|aA2D2a2|aA3D1a2|1|0|1,1
DH2a1a2|HD2a0a2|aD1H2a2|aD2H0a2|0|0|1,1
DH1a1a2|HD1a0a2|aD1H0a2|aD2H2a2|0|0|1,1
DH4a1a2|HD4a3a4|aD1H3a2|aD2H4a2|1|0|1,1
DH6a1a2|HD6a6a7|aD1H6a2|aD2H7a2|1|0|1,1
DH6a1a2|HD6a4a5|aD1H5a2|aD2H4a2|1|0|1,1
AA10a10a9|AA10a1a3|aA1A10a2|aA3A9a2|1|0|1,1
AA4a1a3|AA4a1a3|aA1A3a2|aA1A3a2|-9|0|1,1
AA6a1a3|AA6a6a6|aA1A6a2|aA3A6a2|-1|0|1,2
AA2a1a3|AA2a2a3|aA1A2a2|aA3A3a2|-1|0|1,1
AH1a1a3|HA1a0a2|aA1H0a2|aA3H2a2|0|0|1,2
AH3a1a3|HA3a0a2|aA1H2a2|aA3H0a2|0|0|1,2
AH5a1a3|HA5a3a4|aA1H4a2|aA3H3a2|1|0|1,1
AH7a1a3|HA7a6a7|aA1H7a2|aA3H6a2|1|0|1,1
AH3a1a3|HA3a4a5|aA1H4a2|aA3H5a2|-1|0|1,1
AA9a10a9|AA9a1a3|aA10A3a2|aA1A9a2|-1|0|1,1
AA4a10a9|AA4a6a6|aA10A6a2|aA6A9a2|-1|0|1,1
AA8a10a9|AA8a2a3|aA10A2a2|aA3A9a2|1|0|1,1
AH10a10a9|HA10a0a2|aA10H0a2|aA9H2a2|0|0|1,1
AH9a10a9|HA9a0a2|aA10H2a2|aA9H0a2|0|0|1,1
AH5a10a9|HA5a3a4|aA10H4a2|aA9H3a2|1|0|1,1
AH5a10a9|HA5a6a7|aA10H7a2|aA9H6a2|1|0|1,1
AH8a10a9|HA8a4a5|aA10H4a2|aA9H5a2|1|0|1,1
AA4a1a3|AA4a2a3|aA1A3a2|aA2A3a2|1|0|1,1
AH3a1a3|HA3a3a4|aA1H3a2|aA3H4a2|1|0|1,1
AH5a1a3|HA5a6a7|aA1H6a2|aA3H7a2|1|0|1,1
AH6a1a3|HA6a4a5|aA1H5a2|aA3H4a2|1|0|1,1
AA4a2a3|AA4a6a6|aA2A6a2|aA3A6a2|-1|0|1,1
AH6a6a6|HA6a0a2|aA6H0a2|aA6H2a2|0|0|1,2
AH3a6a6|HA3a3a4|aA6H3a2|aA6H4a2|-1|0|1,1
AH5a6a6|HA5a6a7|aA6H6a2|aA6H7a2|-1|0|1,1
AH4a6a6|HA4a4a5|aA6H4a2|aA6H5a2|1|0|1,1
AH2a2a3|HA2a0a2|aA2H0a2|aA3H2a2|0|0|1,1
AH3a2a3|HA3a0a2|aA2H2a2|aA3H0a2|0|0|1,1
AH3a2a3|HA3a3a4|aA2H4a2|aA3H3a2|1|0|1,1
AH6a2a3|HA6a6a7|aA2H7a2|aA3H6a2|1|0|1,1
AH1a2a3|HA1a4a5|aA2H4a2|aA3H5a2|1|0|1,1
HH2a0a2|HH2a0a2|aH0H2a2|aH0H2a2|0|0|1,1
HH4a0a2|HH4a3a4|aH0H4a2|aH2H3a2|0|0|1,1
HH7a0a2|HH7a6a7|aH0H7a2|aH2H6a2|0|0|1,1
HH4a0a2|HH4a4a5|aH0H4a2|aH2H5a2|0|0|1,1
HH3a0a2|HH3a3a4|aH0H3a2|aH2H4a2|0|0|1,1
HH6a0a2|HH6a6a7|aH0H6a2|aH2H7a2|0|0|1,1
HH5a0a2|HH5a4a5|aH0H5a2|aH2H4a2|0|0|1,1
HH2a3a4|HH2a6a7|aH3H6a2|aH4H7a2|-1|0|1,1
HH4a3a4|HH4a4a5|aH3H5a2|aH4H4a2|1|0|1,1
HH6a4a5|HH6a6a7|aH4H7a2|aH5H6a2|1|0|1,1
AD4a1a5|DA4a2a4|aA1D2a4|aA5D4a4|1|0|1,1
AD10a10a5|DA10a2a4|aA10D2a4|aA5D4a4|-1|0|1,1
AD1a3a3|DA1a2a4|aA3D2a4|aA3D4a4|-1|0|1,1
AD7a3a6|DA7a2a4|aA3D4a4|aA6D2a4|1|0|1,1
AD4a2a3|DA4a2a4|aA2D2a4|aA3D4a4|-1|0|1,1
DH2a2a4|HD2a0a4|aD2H0a4|aD4H4a4|0|0|1,1
DH1a2a4|HD1a2a3|aD2H2a4|aD4H3a4|1|0|1,1
DH4a2a4|HD4a0a4|aD2H4a4|aD4H0a4|0|0|1,1
DH6a2a4|HD6a2a7|aD2H7a4|aD4H2a4|-1|0|1,1
DH6a2a4|HD6a4a4|aD2H4a4|aD4H4a4|1|0|1,1
AA10a10a5|AA10a1a5|aA1A10a4|aA5A5a4|1|0|1,1
AA4a1a5|AA4a3a3|aA1A3a4|aA3A5a4|-1|0|1,1
AA6a1a5|AA6a3a6|aA1A6a4|aA3A5a4|-1|0|1,1
AA2a1a5|AA2a2a3|aA1A2a4|aA3A5a4|-1|0|1,1
AH1a1a5|HA1a0a4|aA1H0a4|aA5H4a4|0|0|1,1
AH3a1a5|HA3a2a3|aA1H2a4|aA5H3a4|-1|0|1,1
AH5a1a5|HA5a0a4|aA1H4a4|aA5H0a4|0|0|1,1
AH7a1a5|HA7a2a7|aA1H7a4|aA5H2a4|1|0|1,1
AH3a1a5|HA3a4a4|aA1H4a4|aA5H4a4|-1|0|1,1
AA9a10a5|AA9a3a3|aA10A3a4|aA3A5a4|-1|0|1,1
AA4a10a5|AA4a3a6|aA10A6a4|aA3A5a4|-1|0|1,1
AA8a10a5|AA8a2a3|aA10A2a4|aA3A5a4|1|0|1,1
AH10a10a5|HA10a0a4|aA10H0a4|aA5H4a4|0|0|1,1
AH9a10a5|HA9a2a3|aA10H2a4|aA5H3a4|-1|0|1,1
AH5a10a5|HA5a0a4|aA10H4a4|aA5H0a4|0|0|1,1
AH5a10a5|HA5a2a7|aA10H7a4|aA5H2a4|1|0|1,1
AH8a10a5|HA8a4a4|aA10H4a4|aA5H4a4|1|0|1,1
AA6a3a3|AA6a3a6|aA3A3a4|aA3A6a4|-1|0|1,1
AA4a2a3|AA4a3a3|aA2A3a4|aA3A3a4|-1|0|1,1
AH3a3a3|HA3a0a4|aA3H0a4|aA3H4a4|0|0|1,2
AH1a3a3|HA1a2a3|aA3H2a4|aA3H3a4|1|0|1,1
AH5a3a3|HA5a2a7|aA3H2a4|aA3H7a4|1|0|1,1
AH6a3a3|HA6a4a4|aA3H4a4|aA3H4a4|0|0|1,1
AA4a2a3|AA4a3a6|aA2A6a4|aA3A3a4|-1|0|1,1
AH6a3a6|HA6a0a4|aA3H4a4|aA6H0a4|0|0|1,1
AH6a3a6|HA6a2a3|aA3H3a4|aA6H2a4|1|0|1,1
AH3a3a6|HA3a0a4|aA3H0a4|aA6H4a4|0|0|1,1
AH5a3a6|HA5a2a7|aA3H2a4|aA6H7a4|-1|0|1,1
AH4a3a6|HA4a4a4|aA3H4a4|aA6H4a4|-1|0|1,1
AH2a2a3|HA2a0a4|aA2H0a4|aA3H4a4|0|0|1,1
AH3a2a3|HA3a2a3|aA2H2a4|aA3H3a4|-1|0|1,1
AH3a2a3|HA3a0a4|aA2H4a4|aA3H0a4|0|0|1,1
AH6a2a3|HA6a2a7|aA2H7a4|aA3H2a4|1|0|1,1
AH1a2a3|HA1a4a4|aA2H4a4|aA3H4a4|1|0|1,1
HH2a0a4|HH2a2a3|aH0H2a4|aH3H4a4|0|0|1,1
HH4a0a4|HH4a0a4|aH0H4a4|aH0H4a4|0|0|1,1
HH7a0a4|HH7a2a7|aH0H7a4|aH2H4a4|0|0|1,1
HH4a0a4|HH4a4a4|aH0H4a4|aH4H4a4|0|0|1,2
